,GPStime,snr,centralFreq,confidence,label
107,1256823403.869,10.465,68.391,1.0,Blip
108,1256823862.844,18.289,677.222,0.999,Scattered_Light
109,1256823933.094,33.875,3984.316,1.0,Scattered_Light
110,1256824091.656,25.59,312.157,1.0,Scattered_Light
111,1256824370.531,7.667,23.057,0.957,Low_Frequency_Burst
112,1256824411.344,12.881,1415.018,0.999,Scattered_Light
113,1256824791.922,7.713,23.057,0.989,Low_Frequency_Burst
114,1256825272.469,15.936,2380.434,1.0,Scattered_Light
115,1256825990.063,9.817,3813.464,0.91,Low_Frequency_Lines
116,1256826264.031,7.731,22.205,0.987,Low_Frequency_Burst
117,1256826613.781,8.19,27.228,0.969,Scattered_Light
118,1256826733.234,8.523,2974.398,0.981,Air_Compressor
119,1256826745.094,18.084,36.338,1.0,Scattered_Light
120,1256826758.469,18.033,2341.528,1.0,Scattered_Light
121,1256827011.969,14.676,26.59,0.998,Scattered_Light
122,1256827085.719,8.07,60.721,1.0,Power_Line
123,1256827448.672,19.837,3693.803,0.997,Scattered_Light
124,1256827989.719,11.121,24.934,0.997,Scattered_Light
125,1256828043.594,18.885,3352.189,1.0,Scattered_Light
126,1256828291.031,20.394,38.215,1.0,Scattered_Light
127,1256828379.531,21.955,3983.241,1.0,Scattered_Light
128,1256886658.773,10.012,88.802,1.0,Power_Line
129,1256886664.535,8.845,76.287,1.0,Power_Line
130,1256886668.941,10.42,87.724,0.996,Power_Line
131,1256886678.457,9.77,236.498,0.982,Blip
132,1256886846.805,1247.164,3983.241,0.996,Extremely_Loud
133,1256888300.461,8.666,983.726,0.946,Air_Compressor
134,1256888402.406,8.714,3426.053,0.997,Power_Line
135,1256888717.969,5757.82,3983.241,0.999,Extremely_Loud
136,1256889102.031,19.059,3983.241,1.0,Scattered_Light
137,1256889109.438,34.735,3983.241,1.0,Scattered_Light
138,1256889114.906,13.29,3206.699,1.0,Scattered_Light
139,1256889143.172,7.679,27.97,0.998,Low_Frequency_Burst
140,1256889376.313,10.032,3615.396,0.999,Low_Frequency_Lines
141,1256889471.047,19.696,3983.241,0.991,Low_Frequency_Burst
142,1256889598.258,3784.697,3983.241,0.999,Extremely_Loud
143,1256890300.688,16.735,3983.241,0.974,Low_Frequency_Lines
144,1256890514.219,31.9,825.505,0.993,Scattered_Light
145,1256890621.531,3253.949,3983.241,0.999,Extremely_Loud
146,1256891559.234,1436.384,3983.241,0.999,Extremely_Loud
147,1256893724.117,320.532,3835.788,0.975,Extremely_Loud
148,1256902986.695,8.474,421.07,0.944,Violin_Mode
149,1256903417.531,9.358,221.806,1.0,Scattered_Light
150,1256904072.641,8.717,20.195,0.979,Low_Frequency_Burst
151,1256904274.32,10.693,20.195,0.99,Low_Frequency_Burst
152,1256904451.281,9.816,3800.791,1.0,Scattered_Light
153,1256904595.492,7.544,372.381,0.979,Whistle
154,1256904971.969,21.343,218.4,0.993,Low_Frequency_Burst
155,1256905348.682,8.04,146.888,1.0,Blip
156,1256905576.219,472.418,3983.241,0.913,Extremely_Loud
157,1256905671.719,9.757,2199.774,1.0,Scattered_Light
158,1256905932.859,15.937,1028.875,1.0,Scattered_Light
