GPStime,snr,label,Q-value
1256674953.93,8.091,Fast_Scattering,11.314
1256674995.811,137.261,Koi_Fish,5.657
1256675063.786,367.473,Koi_Fish,5.657
1256675064.633,8.129,Blip,5.657
1256675076.338,8.043,Blip_Low_Frequency,5.657
1256675094.715,19.179,Tomte,5.657
1256675112.086,9.511,Fast_Scattering,11.314
1256675162.41,7.899,Tomte,5.657
1256675190.703,9.679,Fast_Scattering,11.314
1256675200.633,7.854,Fast_Scattering,11.314
1256675294.445,7.849,Fast_Scattering,11.314
1256675301.234,7.988,Fast_Scattering,11.314
1256675310.664,8.856,Fast_Scattering,11.314
1256675313.039,7.543,Fast_Scattering,11.314
1256675315.023,10.472,Fast_Scattering,11.314
1256675424.316,7.505,Blip_Low_Frequency,5.657
1256675469.609,8.631,Fast_Scattering,11.314
1256675477.078,14.028,Fast_Scattering,11.314
1256675479.016,8.598,Fast_Scattering,22.627
1256675487.984,10.297,Fast_Scattering,11.314
1256675490.648,9.287,Fast_Scattering,11.314
1256675493.063,8.809,Fast_Scattering,11.314
1256675500.078,8.165,Fast_Scattering,11.314
1256675507.975,11.554,Tomte,5.657
1256675523.07,10.003,Fast_Scattering,11.314
1256675525.242,7.627,Fast_Scattering,11.314
1256675527.18,7.687,Fast_Scattering,11.314
1256675532.766,9.416,Fast_Scattering,11.314
1256675546.984,9.467,Fast_Scattering,11.314
1256675548.922,11.213,Fast_Scattering,11.314
1256675592.445,10.342,Fast_Scattering,11.314
1256675594.641,8.576,Fast_Scattering,11.314
1256675601.398,8.888,Fast_Scattering,11.314
1256675676.117,10.278,Fast_Scattering,11.314
1256675694.461,7.619,Fast_Scattering,11.314
1256675716.453,14.798,Blip,5.657
1256675744.805,8.6,Fast_Scattering,11.314
1256675745.791,8.286,Blip_Low_Frequency,5.657
1256675747.453,8.091,Fast_Scattering,11.314
1256675750.168,12.41,Tomte,5.657
1256675777.68,8.269,Fast_Scattering,11.314
1256675782.266,12.09,Fast_Scattering,11.314
1256675784.211,7.83,Fast_Scattering,11.314
1256675789.07,10.103,Fast_Scattering,11.314
1256675881.328,8.867,Fast_Scattering,11.314
1256675894.828,15.78,Fast_Scattering,11.314
1256675994.978,9.657,Blip,5.657
1256676081.172,10.89,Fast_Scattering,11.314
1256676083.813,7.627,Fast_Scattering,11.314
1256676088.711,9.959,Fast_Scattering,11.314
1256676095.203,8.854,Fast_Scattering,11.314
1256676104.414,7.516,Fast_Scattering,11.314
1256676106.625,10.877,Fast_Scattering,11.314
1256676108.234,9.439,Fast_Scattering,11.314
1256676113.078,10.869,Fast_Scattering,11.314
1256676115.234,10.467,Fast_Scattering,11.314
1256676117.93,14.645,Fast_Scattering,11.314
1256676120.609,8.02,Fast_Scattering,11.314
1256676126.641,8.606,Fast_Scattering,11.314
1256676131.984,7.751,Fast_Scattering,11.314
1256676136.07,8.096,Fast_Scattering,11.314
1256676174.023,9.695,Fast_Scattering,11.314
1256676194.813,7.846,Fast_Scattering,11.314
1256676199.453,12.309,Fast_Scattering,11.314
1256676423.57,12.939,Fast_Scattering,11.314
1256676505.416,8.857,Blip_Low_Frequency,5.657
1256676520.506,10.305,Tomte,5.657
1256676645.379,12.273,Tomte,5.657
1256676665.004,11.292,Tomte,5.657
1256676777.824,16.533,Tomte,5.657
1256676877.176,26.072,Tomte,5.657
1256676970.403,16.696,Blip_Low_Frequency,5.657
1256676997.973,8.128,Tomte,5.657
1256677072.84,1468.366,Extremely_Loud,11.314
1256677158.818,8.941,Blip_Low_Frequency,5.657
1256677182.75,9.586,Low_Frequency_Lines,45.255
1256677512.25,11.09,Low_Frequency_Lines,45.255
1256677693.754,21.906,Tomte,5.657
1256677851.916,1503.484,Extremely_Loud,5.657
1256677945.964,1925.974,Extremely_Loud,5.657
1256677963.176,10.732,Blip_Low_Frequency,5.657
1256677985.309,16.402,Tomte,5.657
1256678171.379,11.13,Tomte,5.657
1256678503.003,525.802,Extremely_Loud,5.657
1256678535.85,7.512,Blip_Low_Frequency,5.657
1256678631.128,49.308,Koi_Fish,5.657
1256678639.076,10.536,Tomte,5.657
1256679083.441,9.236,Tomte,5.657
1256679106.863,11.25,Tomte,5.657
1256679202.145,7.873,Tomte,5.657
1256679427.84,27.159,Tomte,5.657
1256679477.027,8.15,Blip_Low_Frequency,5.657
1256679553.379,8.606,Tomte,5.657
1256679623.793,13.216,Tomte,5.657
1256679815.262,15.154,Tomte,5.657
1256680102.863,11.78,Tomte,5.657
1256680245.09,8.271,Blip_Low_Frequency,5.657
1256680367.676,25.194,Tomte,5.657
1256680654.404,11.453,Tomte,5.657
1256680783.916,13.595,Tomte,5.657
1256680991.395,11.332,Tomte,5.657
1256681009.566,9.796,Tomte,5.657
1256681284.395,15.056,Tomte,5.657
1256681383.074,7.943,Tomte,5.657
1256681517.574,9.114,Tomte,5.657
1256681830.604,25.892,Tomte,5.657
1256681927.113,11.052,Tomte,5.657
1256681951.914,17.902,Tomte,5.657
1256682031.379,18.914,Tomte,5.657
1256682296.863,7.838,Blip_Low_Frequency,5.657
1256682390.377,614.596,Extremely_Loud,5.657
1256682466.348,16.303,Tomte,5.657
1256682547.041,17.427,Tomte,5.657
1256682591.73,13.871,Tomte,5.657
1256682690.879,12.658,Tomte,5.657
1256682701.52,13.828,Tomte,5.657
1256682732.639,9.699,Blip_Low_Frequency,5.657
1256682747.059,15.769,Tomte,5.657
1256682797.098,9.217,Tomte,5.657
1256682806.723,15.899,Tomte,5.657
1256682893.098,22.638,Tomte,5.657
1256682960.997,447.781,Koi_Fish,5.657
1256683068.51,21.039,Tomte,5.657
1256683251.004,7.607,Tomte,5.657
1256683278.928,14.839,Tomte,5.657
1256683376.238,8.852,Tomte,5.657
1256683400.987,163.807,Koi_Fish,5.657
1256683467.434,16.525,Tomte,5.657
1256683564.652,9.033,Tomte,5.657
1256683736.59,27.514,Tomte,5.657
1256683897.006,8.382,Blip_Low_Frequency,5.657
1256684060.299,186.575,Koi_Fish,5.657
1256684074.402,16.849,Tomte,5.657
1256684451.227,478.834,Extremely_Loud,11.314
1256684501.4,8.671,Blip_Low_Frequency,5.657
1256684568.75,8.455,Low_Frequency_Lines,45.255
1256684721.488,10.503,Tomte,5.657
1256684835.445,24.558,Blip,5.657
1256684868.933,136.646,Koi_Fish,5.657
1256684949.199,9.959,Tomte,5.657
1256684992.408,8.021,Blip_Low_Frequency,5.657
1256685079.655,794.152,Extremely_Loud,5.657
1256685315.042,439.847,Extremely_Loud,5.657
1256685687.848,10.766,Tomte,5.657
1256685713.068,8.815,Tomte,5.657
1256686094.959,20.966,Blip_Low_Frequency,5.657
1256686200.934,51.73,Tomte,5.657
1256686284.402,8.976,Tomte,5.657
1256686603.385,7.528,Blip_Low_Frequency,5.657
1256686870.941,7.761,Blip_Low_Frequency,5.657
1256686891.457,15.846,Tomte,5.657
1256687016.027,28.033,Tomte,5.657
1256687174.731,15.975,Blip,5.657
1256687541.113,9.949,Tomte,5.657
1256687747.855,8.185,Blip_Low_Frequency,5.657
1256687856.137,7.541,Blip_Low_Frequency,5.657
1256688063.246,9.118,Tomte,5.657
1256688123.021,8.01,Blip_Low_Frequency,5.657
1256688227.186,23.987,Tomte,5.657
1256688256.598,8.39,Tomte,5.657
1256688327.699,9.051,Tomte,5.657
1256688390.668,8.591,Tomte,5.657
1256688465.77,21.579,Tomte,5.657
1256688523.543,11.428,Tomte,5.657
1256688627.955,8.142,Tomte,5.657
1256688744.742,852.824,Extremely_Loud,11.314
1256688801.168,8.38,Tomte,5.657
1256689125.639,277.967,Extremely_Loud,5.657
1256689127.23,495.536,Extremely_Loud,11.314
1256689245.639,10.852,Tomte,5.657
1256689322.986,9.69,Tomte,5.657
1256689383.319,1554.059,Extremely_Loud,22.627
1256689463.572,22.533,Tomte,5.657
1256689497.816,10.437,Tomte,5.657
1256689510.316,9.554,Tomte,5.657
1256689699.574,17.563,Tomte,5.657
1256689798.238,9.373,Tomte,5.657
1256689919.645,3748.184,Extremely_Loud,11.314
1256689935.994,8.854,Blip_Low_Frequency,5.657
1256689984.37,325.468,Extremely_Loud,5.657
1256690074.543,10.89,Tomte,5.657
1256690268.73,8.45,Tomte,5.657
1256690433.652,7.749,Tomte,5.657
1256690434.885,13.778,Tomte,5.657
1256690451.27,11.088,Tomte,5.657
1256690573.504,10.528,Tomte,5.657
1256690626.066,11.202,Tomte,5.657
1256690762.278,553.626,Koi_Fish,5.657
1256690898.355,25.343,Tomte,5.657
1256691124.762,12.957,Tomte,5.657
