GPStime,snr,label,Q-value
1256790847.23,24.202,Whistle,45.255
1256790847.23,24.202,Whistle,45.255
1256792547.49,12.034,Blip_Low_Frequency,5.657
1256792629.306,168.537,Koi_Fish,5.657
1256792767.23,25.754,Whistle,45.255
1256793102.126,515.359,Extremely_Loud,5.657
1256794512.218,144.935,Koi_Fish,5.657
1256795409.051,13.09,Tomte,5.657
1256795757.54,16.888,Blip,5.657
1256795877.584,10.365,Blip_Low_Frequency,5.657
1256797435.331,218.796,Koi_Fish,5.657
1256797525.411,405.434,Extremely_Loud,11.314
1256811381.323,28.131,Blip,5.657
1256816035.207,1796.216,Extremely_Loud,11.314
1256816758.85,9.977,Tomte,5.657
1256819311.027,1013.038,Extremely_Loud,11.314
1256819627.324,10.54,Tomte,5.657
1256820491.105,39.793,Low_Frequency_Burst,5.657
1256829320.559,10.569,Blip_Low_Frequency,5.657
1256829824.696,633.084,Koi_Fish,5.657
1256831958.887,16.551,Tomte,5.657
1256834189.615,214.269,Koi_Fish,5.657
1256835275.277,13.696,Tomte,5.657
1256838622.676,10.428,Tomte,5.657
1256874667.667,14.052,Blip,5.657
1256874667.667,14.052,Blip,5.657
1256874943.183,419.502,Extremely_Loud,5.657
1256875283.477,321.378,Extremely_Loud,22.627
1256875283.477,321.378,Extremely_Loud,22.627
1256875465.949,16.176,Tomte,5.657
1256876438.191,8.329,Blip_Low_Frequency,5.657
1256876438.191,8.329,Blip_Low_Frequency,5.657
1256877119.228,11.771,Whistle,22.627
1256877878.513,7.829,Blip,5.657
1256878635.189,105.959,Koi_Fish,5.657
1256878823.551,10.782,Blip_Low_Frequency,5.657
1256878934.599,27.888,Blip,5.657
1256879978.154,22.881,Tomte,5.657
1256880720.168,196.616,Extremely_Loud,11.314
1256881916.348,8.37,Tomte,5.657
1256882115.237,163.029,Koi_Fish,5.657
1256882115.237,163.029,Koi_Fish,5.657
1256882222.885,9.457,Blip_Low_Frequency,5.657
1256883030.818,12.941,Blip_Low_Frequency,5.657
1256884084.918,13.125,Tomte,5.657
1256885142.022,11.426,Blip,5.657
1256885142.022,11.426,Blip,5.657
1256885518.379,15.888,Blip,5.657
1256885963.379,1413.524,Extremely_Loud,5.657
1256888726.848,25.593,Tomte,5.657
1256889642.738,2734.883,Extremely_Loud,5.657
1256890495.956,88.697,Koi_Fish,5.657
1256891576.095,34.054,Blip,5.657
1256895345.41,18.709,Tomte,5.657
1256895826.842,222.352,Koi_Fish,5.657
1256896289.525,449.986,Extremely_Loud,5.657
1256896304.426,39.444,Tomte,5.657
1256897034.488,23.96,Tomte,5.657
1256897167.335,23.271,Blip,5.657
1256897283.723,17.49,Tomte,5.657
1256898618.523,11.112,Blip,5.657
1256899925.235,42.412,Blip,5.657
1256902020.164,7.897,Fast_Scattering,11.314
1256902108.233,35.832,Blip,5.657
1256902431.215,14.13,Tomte,5.657
1256904018.89,79.198,Koi_Fish,5.657
1256904304.16,18.573,Tomte,5.657
1256905071.337,35.09,Blip,5.657
1256905211.449,8.269,Blip_Low_Frequency,5.657
1256905489.066,15.034,Tomte,5.657
1256905813.24,8.732,Tomte,5.657
1256907021.875,126.686,Extremely_Loud,45.255
1256907021.875,126.686,Extremely_Loud,45.255
1256907022.335,804.863,Extremely_Loud,5.657
1256907138.25,7.837,Low_Frequency_Lines,45.255
1256907138.25,7.837,Low_Frequency_Lines,45.255
1256907577.76,16.936,Tomte,5.657
1256907786.643,17.449,Blip_Low_Frequency,5.657
1256907953.984,1120.371,Extremely_Loud,11.314
1256907954.066,1788.471,Extremely_Loud,11.314
1256907954.066,1788.471,Extremely_Loud,11.314
1256908928.191,8.918,Blip,5.657
1256908979.035,13.634,Tomte,5.657
1256909247.241,10.695,Whistle,22.627
1256909937.951,16.886,Blip_Low_Frequency,5.657
1256910430.427,115.766,Koi_Fish,5.657
1256910430.427,115.766,Koi_Fish,5.657
1256910558.75,22.168,Low_Frequency_Lines,45.255
1256910730.75,7.92,Low_Frequency_Lines,45.255
1256915150.563,20.439,Blip_Low_Frequency,5.657
1256915183.36,8.272,Blip,5.657
1256918463.23,86.92,Whistle,22.627
1256918903.497,7.502,Blip,5.657
1256918948.531,16.798,Low_Frequency_Burst,11.314
1256919746.168,19.728,Tomte,5.657
1256919871.23,18.825,Whistle,22.627
1256920115.08,9.147,Blip_Low_Frequency,5.657
1256920757.09,28.211,Tomte,5.657
1256921546.816,7.711,Blip_Low_Frequency,5.657
1256922296.98,426.703,Koi_Fish,5.657
1256923519.75,309.875,Low_Frequency_Burst,11.314
1256923519.75,309.875,Low_Frequency_Burst,11.314
1256923519.75,309.875,Low_Frequency_Burst,11.314
1256923519.75,309.875,Low_Frequency_Burst,11.314
1256923519.75,309.875,Low_Frequency_Burst,11.314
1256923519.75,309.875,Low_Frequency_Burst,11.314
1256959833.059,13.297,Tomte,5.657
1256965539.824,390.152,Extremely_Loud,11.314
1256972436.965,23.352,Tomte,5.657
1256976460.07,345.015,Extremely_Loud,45.255
1256976575.225,9.571,Whistle,45.255
1256976885.371,1051.233,Extremely_Loud,11.314
1256983770.809,13.059,Tomte,5.657
1256984863.376,31.593,Blip,5.657
1256985705.21,9.172,Blip,5.657
1256986214.816,11.918,Tomte,5.657
1256986378.527,12.877,Tomte,5.657
1256987025.412,10.272,Blip_Low_Frequency,5.657
1256987132.77,9.516,Blip_Low_Frequency,5.657
1256987448.23,7.852,Blip_Low_Frequency,5.657
1256988287.863,13.108,Tomte,5.657
1256989770.031,61.767,Low_Frequency_Burst,22.627
1256990247.013,7.608,Blip,5.657
1256990881.746,10.209,Tomte,5.657
1256991363.115,131.634,Koi_Fish,5.657
1256992486.844,28.0,Blip,5.657
1256992517.947,7.964,Blip_Low_Frequency,5.657
1256992825.684,628.665,Extremely_Loud,11.314
1256992844.193,80.622,Koi_Fish,5.657
1256993262.75,9.039,Low_Frequency_Lines,45.255
1256993390.75,13.279,Low_Frequency_Lines,45.255
1256994835.124,935.026,Extremely_Loud,5.657
1256994949.907,13.863,Blip,5.657
1256996724.152,25.123,Blip,5.657
1256996863.751,7.67,Blip,5.657
1256997932.098,12.615,Tomte,5.657
1256998961.808,91.425,Koi_Fish,5.657
1256999067.104,8.39,Blip_Low_Frequency,5.657
1256999332.396,73.418,Koi_Fish,5.657
1257000035.73,11.905,Tomte,5.657
1257000188.973,27.162,Blip,5.657
